matchPeriod,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls_received,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Saves,Clearances,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_penalty,Yellow_card,Red_card,PlayerType,gender
1H,16,15,1,0,0,0,1,1,0,1,1,0,4,0,2,2,0,0,0,0,5,0,5,0,0,0,0,0,0,0,Defender,1
2H,12,11,1,0,0,0,0,0,0,0,0,0,4,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Forward,1
2H,13,11,2,3,2,1,0,0,0,0,0,0,17,4,8,4,1,2,1,1,0,0,1,0,0,0,0,0,0,0,Midfielder,1
2H,31,28,3,2,0,2,2,2,0,1,0,1,10,6,3,7,0,1,0,1,1,0,1,0,0,0,0,0,0,0,Defender,1
1H,23,20,3,0,0,0,1,1,0,2,1,1,7,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,Defender,1
2H,47,45,2,0,0,0,3,2,1,3,1,2,7,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Defender,1
2H,34,29,5,3,1,2,4,3,1,0,0,0,7,5,1,6,0,3,2,1,0,0,0,4,1,3,0,0,0,0,Midfielder,1
2H,11,10,1,0,0,0,0,0,0,1,0,1,12,3,6,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,Midfielder,1
E1,4,4,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Midfielder,1
1H,22,14,8,2,0,2,4,0,4,3,1,2,12,6,2,0,0,0,0,0,3,0,1,1,0,1,0,0,0,0,Forward,1
1H,30,26,4,1,1,0,1,0,1,2,0,2,8,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,1
E1,11,9,2,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MidfielderSubstitute,1
1H,8,5,3,1,0,1,0,0,0,8,4,4,11,1,5,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,Forward,1
2H,44,44,0,0,0,0,0,0,0,2,1,1,6,2,3,1,1,1,1,0,2,0,0,1,1,0,0,0,0,0,Midfielder,1
1H,23,18,5,0,0,0,1,1,0,1,1,0,12,2,6,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,Midfielder,1
2H,3,2,1,0,0,0,1,1,0,1,1,0,2,2,0,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,Defender,1
2H,36,34,2,1,0,1,1,0,1,0,0,0,9,2,5,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,Midfielder,1
E2,5,4,1,1,0,1,1,1,0,1,0,1,5,2,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,MidfielderSubstitute,1
1H,8,8,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper,1
2H,6,5,1,0,0,0,3,2,1,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Goalkeeper,1
2H,4,4,0,0,0,0,0,0,0,2,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Midfielder,1
2H,3,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MidfielderSubstitute,1
1H,4,3,1,0,0,0,0,0,0,3,2,1,23,3,11,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,Forward,1
1H,9,6,3,2,0,2,0,0,0,2,2,0,11,4,5,7,2,0,0,0,3,0,1,1,1,0,0,0,1,0,Midfielder,1
2H,43,41,2,1,1,0,2,1,1,7,3,4,8,3,2,1,2,0,0,0,6,0,2,0,0,0,0,0,0,0,Defender,1
2H,11,8,3,2,0,2,0,0,0,1,1,0,6,1,2,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,DefenderSubstitute,1
1H,45,41,4,0,0,0,2,2,0,5,4,1,3,1,2,5,1,0,0,0,3,0,1,0,0,0,0,0,0,0,Defender,1
1H,13,10,3,0,0,0,0,0,0,3,1,2,6,1,4,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,Defender,1
2H,21,16,5,2,0,2,1,1,0,0,0,0,5,1,1,6,0,0,0,0,3,0,2,0,0,0,0,0,0,0,Defender,1
2H,15,12,3,0,0,0,1,1,0,2,2,0,1,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,Defender,1
2H,16,14,2,1,1,0,1,0,1,0,0,0,12,2,6,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,10,6,4,0,0,0,0,0,0,1,0,1,9,3,4,4,0,1,0,1,1,0,1,1,0,1,0,0,0,0,Forward,1
E1,6,5,1,0,0,0,0,0,0,1,1,0,6,3,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Defender,1
2H,9,7,2,0,0,0,2,2,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Goalkeeper,1
1H,14,10,4,3,1,2,1,1,0,3,0,3,6,2,2,7,0,0,0,0,1,0,1,1,0,1,0,0,0,0,Defender,1
1H,11,9,2,0,0,0,2,1,1,5,3,2,8,3,2,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,Defender,1
1H,11,10,1,0,0,0,1,1,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Forward,1
1H,15,13,2,2,0,2,0,0,0,2,1,1,9,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,7,6,1,0,0,0,0,0,0,8,4,4,10,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Forward,1
