matchId,matchPeriod,teamId,playerId,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Saves,Clearances,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_set_play,Goals_from_penalty,Own_goals,Yellow_card,Red_card,Total_touches,PlayerType,PlayerName,MatchLabel
1694407,2H,3148,14716,27,24,3,0,0,0,3,1,2,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,Defender,J\u00e9r\u00f4meBoateng,"Northern Ireland - Germany, 0 - 1"
1694421,1H,9905,28907,42,37,5,2,1,1,1,0,1,0,0,0,9,4,1,6,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,43,Defender,Rapha\u00ebl Adelino Jos\u00e9Guerreiro,"Portugal - Iceland, 1 - 1"
1694390,2H,11944,83590,12,7,5,3,0,0,1,0,1,1,0,1,11,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,MidfielderSubstitute,Alexandru Mih\u0103i\u021b\u0103Chipciu,"France - Romania, 2 - 1"
1694393,1H,4418,25437,28,27,1,0,0,0,0,0,0,4,3,1,14,4,6,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,31,Midfielder,BlaiseMatuidi,"France - Albania, 2 - 0"
1694397,2H,2413,210044,35,30,5,0,0,0,1,0,1,2,1,1,6,2,3,4,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,37,Midfielder,Eric Dier,"England - Russia, 1 - 1"
1694417,2H,5629,7905,10,10,0,0,0,0,0,0,0,3,0,3,3,2,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,10,Forward,RomeluLukaku Menama,"Belgium - Republic of Ireland, 3 - 0"
1694440,2H,4418,7858,30,25,5,2,0,0,0,0,0,2,2,0,4,2,0,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,31,Defender,BacarySagna,"Portugal - France, 1 - 0 (E)"
1694413,2H,11555,54375,12,5,7,3,0,0,2,1,1,1,0,1,5,3,1,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,Midfielder,Bo\u0159ekDo\u010dkal,"Czech Republic - Turkey, 0 - 2"
1694417,1H,5629,11152,25,25,0,0,0,0,0,0,0,0,0,0,17,9,5,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,25,Midfielder,Moussa Sidi YayaDemb\u00e9l\u00e9,"Belgium - Republic of Ireland, 3 - 0"
1694421,1H,7839,55983,14,11,3,0,0,0,3,1,2,0,0,0,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,Defender,RagnarSigur\u00f0sson,"Portugal - Iceland, 1 - 1"
