matchId,matchPeriod,teamId,playerId,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Saves,Clearances,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_set_play,Goals_from_penalty,Own_goals,Yellow_card,Red_card,Total_touches,PlayerType
1694416,1H,3757,20628,8,3,5,0,0,0,0,0,0,5,2,3,11,1,6,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,10,Forward
1694418,2H,3757,20395,13,9,4,1,1,0,1,1,0,0,0,0,7,4,3,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,16,Defender
1694431,2H,10451,299557,18,16,2,0,0,0,0,0,0,2,0,2,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Midfielder
1694435,1H,5629,134769,15,11,4,3,0,3,0,0,0,1,0,1,10,5,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,15,Forward
1694431,1H,5629,38021,24,20,4,1,1,0,2,1,1,0,0,0,8,3,5,7,1,4,3,1,1,0,0,5,4,1,0,0,0,0,0,0,24,Midfielder
1694423,1H,9109,14688,16,15,1,0,0,0,1,1,0,1,1,0,4,0,2,2,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,22,Defender
1694417,2H,5629,134769,12,11,1,0,0,0,0,0,0,0,0,0,4,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,Forward
1694392,2H,11944,20596,13,11,2,3,2,1,0,0,0,0,0,0,17,4,8,4,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,14,Midfielder
1694394,2H,6697,14922,31,28,3,2,0,2,2,2,0,1,0,1,10,6,3,7,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,32,Defender
1694397,1H,14358,15022,23,20,3,0,0,0,1,1,0,2,1,1,7,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,Defender
1694398,2H,14358,101581,47,45,2,0,0,0,3,2,1,3,1,2,7,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,48,Defender
1694429,2H,4418,25714,34,29,5,3,1,2,4,3,1,0,0,0,7,5,1,6,0,3,2,1,0,0,0,4,1,3,0,0,0,0,0,0,35,Midfielder
1694405,2H,3148,14806,11,10,1,0,0,0,0,0,0,1,0,1,12,3,6,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12,Midfielder
1694428,E1,9905,37762,4,4,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,Midfielder
1694427,1H,10682,8278,22,14,8,2,0,2,4,0,4,3,1,2,12,6,2,0,0,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,23,Forward
1694439,1H,3148,14862,30,26,4,1,1,0,1,0,1,2,0,2,8,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,Midfielder
1694434,E1,9905,70093,11,9,2,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,MidfielderSubstitute
1694405,1H,13869,99452,8,5,3,1,0,1,0,0,0,8,4,4,11,1,5,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,11,Forward
1694406,2H,14622,105371,44,44,0,0,0,0,0,0,0,2,1,1,6,2,3,1,1,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0,46,Midfielder
1694440,1H,9905,70403,23,18,5,0,0,0,1,1,0,1,1,0,12,2,6,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,26,Midfielder
1694395,2H,8731,49857,3,2,1,0,0,0,1,1,0,1,1,0,2,2,0,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,5,Defender
1694417,2H,8274,8980,36,34,2,1,0,1,1,0,1,0,0,0,9,2,5,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,39,Midfielder
1694434,E2,13869,269189,5,4,1,1,0,1,1,1,0,1,0,1,5,2,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,5,MidfielderSubstitute
1694422,1H,7839,57226,8,8,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Goalkeeper
1694420,2H,9109,70100,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
1694433,2H,2413,8301,6,5,1,0,0,0,3,2,1,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,Goalkeeper
1694398,2H,14496,218896,4,4,0,0,0,0,0,0,0,2,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,Midfielder
1694419,2H,7047,33091,3,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,MidfielderSubstitute
1694426,P,6697,49872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Midfielder
1694390,1H,11944,6165,4,3,1,0,0,0,0,0,0,3,2,1,23,3,11,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,Forward
1694427,1H,10962,80019,9,6,3,2,0,2,0,0,0,2,2,0,11,4,5,7,2,0,0,0,3,0,1,1,1,0,0,0,0,0,1,0,14,Midfielder
1694409,2H,1598,3306,43,41,2,1,1,0,2,1,1,7,3,4,8,3,2,1,2,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,46,Defender
1694418,2H,3757,21095,11,8,3,2,0,2,0,0,0,1,1,0,6,1,2,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,14,DefenderSubstitute
1694422,1H,10451,7980,45,41,4,0,0,0,2,2,0,5,4,1,3,1,2,5,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,48,Defender
1694419,1H,7047,71703,13,10,3,0,0,0,0,0,0,3,1,2,6,1,4,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,15,Defender
1694394,2H,6697,20465,21,16,5,2,0,2,1,1,0,0,0,0,5,1,1,6,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,23,Defender
1694415,2H,3757,20458,15,12,3,0,0,0,1,1,0,2,2,0,1,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,18,Defender
1694427,2H,10962,9620,16,14,2,1,1,0,1,0,1,0,0,0,12,2,6,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,Midfielder
1694405,2H,13869,99452,10,6,4,0,0,0,0,0,0,1,0,1,9,3,4,4,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,14,Forward
1694426,E1,13869,99381,6,5,1,0,0,0,0,0,0,1,1,0,6,3,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,Defender
1694412,2H,9598,135747,9,7,2,0,0,0,2,2,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,Goalkeeper
1694427,1H,10682,77544,14,10,4,3,1,2,1,1,0,3,0,3,6,2,2,7,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,18,Defender
1694402,1H,10962,8362,11,9,2,0,0,0,2,1,1,5,3,2,8,3,2,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,14,Defender
1694428,E2,9598,69411,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ForwardSubstitute
1694432,1H,3757,20626,11,10,1,0,0,0,1,1,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11,Forward
1694394,1H,4418,25804,15,13,2,2,0,2,0,0,0,2,1,1,9,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,18,Midfielder
1694421,2H,7839,58105,7,6,1,0,0,0,0,0,0,8,4,4,10,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,Forward
1694428,2H,9598,135747,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,Goalkeeper
1694403,2H,14622,105341,10,8,2,0,0,0,1,0,1,2,2,0,3,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,12,Midfielder
1694408,2H,9598,3476,14,13,1,0,0,0,1,0,1,0,0,0,15,8,3,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,16,Midfielder
1694429,2H,4418,7855,22,21,1,0,0,0,2,2,0,3,3,0,3,1,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,24,Defender
1694408,1H,4687,32636,5,4,1,0,0,0,0,0,0,10,5,5,7,1,5,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,6,Forward
1694425,2H,9109,14703,21,16,5,3,0,3,0,0,0,0,0,0,15,10,2,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,22,Forward
1694410,1H,9598,14943,11,8,3,2,1,1,1,1,0,4,2,2,9,0,4,0,1,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,14,Forward
1694414,2H,7047,8192,26,16,10,6,3,3,0,0,0,1,0,1,6,2,0,3,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,29,Defender
1694433,1H,7839,62221,8,7,1,0,0,0,2,2,0,2,2,0,4,3,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,9,Defender
1694429,2H,4418,3276,27,25,2,0,0,0,1,1,0,3,2,1,4,1,1,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,31,Defender
1694401,2H,10682,8688,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ForwardSubstitute
1694416,2H,3757,20458,30,26,4,0,0,0,2,0,2,4,3,1,2,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,31,Defender
1694438,2H,9905,20496,12,9,3,0,0,0,3,2,1,1,0,1,3,0,0,0,0,0,0,0,5,0,1,1,1,0,0,0,0,0,0,0,13,Midfielder
1694392,1H,11944,70090,8,6,2,1,0,1,1,0,1,5,4,1,6,2,2,1,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,9,Defender
1694403,2H,3148,14862,27,25,2,0,0,0,1,0,1,2,1,1,9,5,3,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,28,Midfielder
1694412,1H,1598,3324,16,11,5,1,0,1,0,0,0,4,3,1,15,5,6,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,18,Forward
1694426,1H,6697,105619,16,11,5,2,1,1,1,1,0,2,1,1,16,3,5,4,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,17,Forward
1694428,E1,9905,32597,4,2,2,1,0,1,0,0,0,0,0,0,5,3,1,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,ForwardSubstitute
1694397,1H,14358,257800,9,8,1,0,0,0,0,0,0,4,1,3,13,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Midfielder
1694415,2H,3757,20438,14,11,3,0,0,0,1,0,1,1,1,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,15,Midfielder
1694423,1H,9905,28907,30,26,4,2,1,1,1,1,0,0,0,0,9,4,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,32,Defender
1694431,2H,5629,3429,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,Goalkeeper
1694400,2H,2413,210044,54,52,2,0,0,0,2,1,1,1,0,1,5,2,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,54,Midfielder
1694409,2H,11555,32582,5,4,1,0,0,0,1,1,0,4,0,4,6,1,2,1,1,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,11,Defender
1694415,2H,5629,48,22,15,7,6,1,5,1,1,0,2,1,1,5,1,4,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,25,Defender
1694418,1H,8274,8530,9,6,3,2,0,2,0,0,0,5,1,4,20,8,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Midfielder
1694395,2H,8731,15449,4,2,2,0,0,0,1,1,0,2,2,0,1,0,1,0,0,0,0,0,4,0,2,3,0,3,0,0,0,0,0,0,7,Defender
1694409,1H,1598,3447,26,21,5,2,1,1,1,0,1,0,0,0,8,4,1,6,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,28,Defender
1694429,1H,4418,3682,21,16,5,1,0,1,0,0,0,0,0,0,10,5,3,0,0,0,0,0,2,0,0,5,2,3,0,0,0,0,0,0,23,Forward
1694440,E1,9905,70410,5,4,1,0,0,0,0,0,0,2,2,0,4,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,ForwardSubstitute
1694393,1H,8731,50849,5,5,0,0,0,0,1,1,0,1,1,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,Goalkeeper
1694437,2H,4418,3682,27,25,2,0,0,0,1,1,0,2,1,1,6,3,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,29,Forward
1694429,2H,4418,7858,28,24,4,4,1,3,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,Defender
