matchId,playerId,PlayerName
1694421,3322,Cristiano Ronaldodos Santos Aveiro
1694411,32523,CanerErkin
1694424,3307,Ricardo AlbertoSilveira de Carvalho
1694390,83953,Ovidiu \u015etefanHoban
1694391,64067,SokolCikalleshi
1694434,3305,Kl\u00e9perLaveran Lima Ferreira
1694400,7885,RyanBertrand
1694434,14817,RobertLewandowski
1694390,7855,LaurentKoscielny
1694436,14728,BastianSchweinsteiger
1694435,38093,MichyBatshuayi Tunga
1694411,3350,FrancescF\u00e0bregas i Soler
1694415,48,JanVertonghen
1694440,25437,BlaiseMatuidi
1694414,71703,VictorNilsson Lindel\u00f6f
1694435,77546,AshleyWilliams
1694434,37762,WilliamSilva de Carvalho
1694406,21097,KamilGlik
1694391,50849,EtritBerisha
1694428,3476,IvanRakiti\u0107
1694397,101856,OlegShatov
1694401,101583,SergeiIgnashevich
1694438,28907,Rapha\u00ebl Adelino Jos\u00e9Guerreiro
1694396,77544,NeilTaylor
1694431,37724,RolandJuh\u00e1sz
1694408,15524,Hakan\u00c7alhano\u011flu
1694404,105503,SerhiySydorchuk
1694430,14731,MarioG\u00f3mez Garc\u00eda
1694416,20459,LeonardoBonucci
1694423,65596,MarcelSabitzer
1694426,20465,StephanLichtsteiner
1694403,14789,Andr\u00e9Sch\u00fcrrle
1694434,32597,RicardoAndrade Quaresma Bernardo
1694437,58105,J\u00f3n Da\u00f0iB\u00f6\u00f0varsson
1694440,28907,Rapha\u00ebl Adelino Jos\u00e9Guerreiro
1694403,105380,RomanZozulya
1694434,258162,Renato J\u00faniorLuz Sanches
1694391,49869,FabianFrei
1694395,84017,AdrianPopa
1694411,3269,JordiAlba Ramos
1694416,50812,JimmyDurmaz
1694434,3570,EliseuPereira dos Santos
1694436,20395,MattiaDe Sciglio
1694393,26010,OlivierGiroud
1694411,223071,OzanTufan
1694413,281255,EmreMor
1694433,7907,DanielSturridge
1694391,15285,OdiseRoshi
1694418,9623,RobbieBrady
1694406,14804,JakubB\u0142aszczykowski
1694414,8240,S\u00e9amusColeman
1694403,14732,ThomasM\u00fcller
1694405,99446,KrzysztofM\u0105czy\u0144ski
1694436,14731,MarioG\u00f3mez Garc\u00eda
1694393,50264,BurimKukeli
1694417,9623,RobbieBrady
1694430,3319,Mesut\u00d6zil
1694430,18669,JonasHector
1694419,14908,MarcusBerg
1694412,7910,Davidde Gea Quintana
1694406,105378,YevhenKonoplyanka
1694407,14723,ToniKroos
1694431,7980,Tam\u00e1sK\u00e1d\u00e1r
1694395,84017,AdrianPopa
1694402,14817,RobertLewandowski
1694436,18669,JonasHector
1694437,231139,KingsleyComan
1694417,38031,ChristianBenteke Liolo
1694393,50461,ArmandoSadiku
1694411,3448,ArdaTuran
1694428,70965,Jo\u00e3o M\u00e1rioNaval da Costa Eduardo 
1694397,101825,IgorSmolnikov
